Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Urbain,Totem_Laurier,University,Viger
30/01/2016,00:00,136,6,9,35,212,56,15,76,11,11,,245,52,6,106,160,119,18
31/01/2016,00:00,180,46,21,82,303,95,24,122,29,24,,295,81,21,166,203,156,19
01/02/2016,00:00,559,70,58,251,737,225,39,384,31,20,,697,200,72,270,416,522,90
02/02/2016,00:00,607,54,47,221,810,240,73,442,25,18,,694,199,103,337,450,557,76
03/02/2016,00:00,267,16,24,74,381,112,23,166,8,22,,322,94,37,61,81,169,48
04/02/2016,00:00,613,91,35,246,823,246,69,467,16,27,,684,201,81,306,384,526,83
05/02/2016,00:00,517,64,45,185,686,222,59,406,28,33,,679,172,79,302,424,470,75
06/02/2016,00:00,157,5,20,50,205,53,9,67,7,27,,228,55,10,74,93,85,10
07/02/2016,00:00,145,2,3,8,145,56,6,66,8,29,,205,44,10,85,46,74,19
08/02/2016,00:00,413,4,7,38,575,183,41,288,8,20,,453,142,55,198,156,374,59
09/02/2016,00:00,422,2,26,60,540,148,41,276,10,17,,457,139,56,156,211,318,52
10/02/2016,00:00,409,0,15,101,528,178,42,280,5,24,,464,158,56,56,105,304,60
11/02/2016,00:00,396,0,8,34,450,132,41,172,3,19,,395,137,44,26,47,340,48
12/02/2016,00:00,298,0,7,36,386,114,32,137,6,22,,326,112,44,21,76,248,65
13/02/2016,00:00,63,0,22,2,82,39,5,27,0,2,,105,9,1,1,17,48,6
14/02/2016,00:00,103,1,13,0,284,18,11,28,2,2,,110,18,3,0,10,28,9
15/02/2016,00:00,286,0,9,35,369,117,35,148,10,7,,347,102,29,0,117,238,59
16/02/2016,00:00,129,1,5,25,184,85,5,12,0,3,,211,39,20,0,44,44,17
17/02/2016,00:00,264,0,70,36,385,143,0,182,7,20,,462,30,27,0,82,181,32
18/02/2016,00:00,362,4,9,14,418,131,21,198,2,3,,435,107,56,0,123,240,58
19/02/2016,00:00,396,1,50,63,440,126,20,200,2,19,,431,124,41,34,190,228,54
20/02/2016,00:00,89,4,4,12,111,48,2,18,4,3,,172,16,9,53,29,58,7
21/02/2016,00:00,112,6,90,18,159,57,8,50,19,8,,221,49,14,94,87,20,11
22/02/2016,00:00,382,8,6,38,466,153,24,219,9,18,,456,135,65,181,159,0,61
23/02/2016,00:00,415,11,7,51,516,173,29,239,5,21,,478,145,50,231,207,0,63
24/02/2016,00:00,255,2,7,16,334,105,8,70,6,7,,231,78,12,26,58,0,37
25/02/2016,00:00,207,0,9,2,288,101,8,76,2,11,,256,47,264,34,74,75,50
26/02/2016,00:00,212,1,8,0,300,92,8,50,6,18,,207,65,13,5,26,118,37
27/02/2016,00:00,117,0,7,0,137,44,5,11,5,3,,177,3,6,15,41,56,8
28/02/2016,00:00,94,0,4,1,111,45,2,3,3,13,,114,7937,5,5,23,47,8
29/02/2016,00:00,143,1,9,1,229,79,7,27,6,10,,187,69,34,2,27,122,44
01/03/2016,00:00,247,0,3,0,372,90,14,52,6,9,,349,92,43,1,55,176,47
02/03/2016,00:00,171,3,1,0,244,71,14,3,1,7,,181,3,28,1,24,86,28
03/03/2016,00:00,218,1,4,0,305,88,15,6,4,11,,293,55,29,81,41,147,62
04/03/2016,00:00,288,1,18,0,311,84,20,4,11,9,,291,151,36,129,116,152,52
05/03/2016,00:00,142,12,37,3,180,81,8,5,12,21,,268,42,17,85,78,65,18
06/03/2016,00:00,165,3,12,2,200,66,12,5,30,18,,258,52,14,99,102,80,17
07/03/2016,00:00,306,2,7,11,408,112,23,44,6,8,,397,100,44,88,154,246,52
08/03/2016,00:00,455,4,5,47,652,181,25,53,12,26,,557,165,66,267,276,76,66
09/03/2016,00:00,549,34,5,196,791,250,31,332,13,57,,633,228,83,321,360,290,76
10/03/2016,00:00,579,48,13,269,779,269,50,417,25,199,,724,238,102,345,381,0,71
11/03/2016,00:00,674,49,20,275,916,291,62,515,68,102,,822,229,79,380,466,0,78
12/03/2016,00:00,484,80,15,242,713,277,55,392,209,198,,953,174,77,372,457,298,48
13/03/2016,00:00,534,84,25,253,685,298,95,382,171,250,,932,243,39,322,450,0,33
14/03/2016,00:00,665,52,23,332,855,285,96,569,27,56,,800,256,94,360,449,837,99
15/03/2016,00:00,778,39,47,331,900,246,145,603,36,76,,838,311,1,392,503,574,66
16/03/2016,00:00,969,156,61,475,1230,421,164,797,69,103,,1013,136,0,510,607,866,82
17/03/2016,00:00,1008,114,62,433,1239,377,200,815,76,72,,1017,260,95,496,568,844,84
18/03/2016,00:00,596,78,54,232,893,322,100,475,38,187,,705,0,58,351,421,552,65
19/03/2016,00:00,401,71,65,131,546,172,83,291,74,233,,652,15,29,283,400,264,17
20/03/2016,00:00,396,96,67,147,603,187,105,329,110,359,,691,5,21,268,366,287,12
21/03/2016,00:00,946,104,60,405,1249,408,265,738,132,475,,1093,42,117,490,613,913,88
22/03/2016,00:00,1048,99,87,392,1224,427,261,815,134,451,,1061,194,116,539,621,927,98
23/03/2016,00:00,757,129,45,315,1001,292,182,601,82,281,,925,0,111,429,602,665,68
24/03/2016,00:00,389,16,33,106,503,144,72,280,7,100,,412,0,41,199,211,353,38
25/03/2016,00:00,142,3,20,2,207,63,11,24,9,56,,248,0,13,53,12,85,14
26/03/2016,00:00,297,31,0,70,381,155,43,152,89,258,,511,65,26,184,249,147,23
27/03/2016,00:00,665,169,25,199,623,345,230,389,591,912,,950,307,43,267,367,258,39
28/03/2016,00:00,157,42,21,76,268,107,68,160,45,122,,291,83,30,112,197,202,21
29/03/2016,00:00,1237,218,108,523,1347,471,324,881,211,505,,1340,464,123,540,754,965,100
30/03/2016,00:00,1495,246,155,756,1748,652,422,1170,372,885,,1583,571,179,667,931,1216,187
31/03/2016,00:00,536,85,66,227,610,217,148,459,57,229,,614,237,85,285,407,439,58
01/04/2016,00:00,1106,344,633,519,1260,479,306,849,239,581,,1292,519,139,589,751,885,133
02/04/2016,00:00,607,640,675,371,895,342,215,439,340,566,,1079,274,65,472,634,412,50
03/04/2016,00:00,345,363,388,170,523,180,130,252,53,243,,674,157,31,211,439,256,25
04/04/2016,00:00,1095,552,810,450,1258,430,305,820,148,445,,1114,443,124,436,703,891,113
05/04/2016,00:00,1214,652,962,501,1485,427,372,1026,176,529,,1381,519,160,573,1047,1066,145
06/04/2016,00:00,1008,499,763,403,1235,413,377,774,145,438,,1020,505,119,485,811,881,112
07/04/2016,00:00,262,45,44,66,376,110,49,180,16,86,,201,95,43,117,276,230,20
08/04/2016,00:00,552,295,342,183,754,233,143,443,77,278,,628,226,65,293,546,490,70
09/04/2016,00:00,483,467,513,185,710,232,112,366,173,361,,736,161,33,319,508,319,31
10/04/2016,00:00,549,553,611,205,743,306,243,411,248,528,,924,235,26,330,629,368,42
11/04/2016,00:00,551,237,323,197,642,196,153,419,44,200,,600,206,66,213,491,430,67
12/04/2016,00:00,1634,865,1260,634,1809,549,485,1136,314,705,,1695,654,171,674,1202,1221,146
13/04/2016,00:00,2108,1320,1801,944,2190,777,750,1571,592,1136,,2119,930,283,926,1560,1591,191
14/04/2016,00:00,2340,1585,2125,942,2512,966,951,1623,707,1326,,2310,1141,286,1070,1777,1708,214
15/04/2016,00:00,3116,2112,2773,1127,3193,1097,1041,2042,965,1455,,2848,1259,326,1318,2117,2114,292
16/04/2016,00:00,2439,2379,2650,892,2588,882,879,1354,1607,1617,,3234,1055,168,955,2132,1191,197
17/04/2016,00:00,3442,3419,3925,1158,3143,1358,1351,1795,3204,2396,,4274,1546,210,1154,2629,1439,225
18/04/2016,00:00,1907,1104,1710,833,2124,755,672,1330,323,763,,1830,867,188,1088,1508,1558,233
19/04/2016,00:00,3754,2326,3328,1443,3996,1397,1466,2288,1122,1786,,3357,1713,371,1747,2440,2586,406
20/04/2016,00:00,3980,2586,3559,1731,4231,1392,1392,2719,1121,1803,,3288,1728,490,2013,2732,2766,401
21/04/2016,00:00,4621,3294,4348,1872,4959,1417,1707,2789,1938,2433,,3998,2145,563,2043,3116,3070,463
22/04/2016,00:00,1798,1308,1738,654,2061,638,563,1240,240,605,,1929,718,226,825,1582,1290,212
23/04/2016,00:00,2652,2559,3042,931,2504,931,867,1263,1624,1567,,3220,1006,180,1048,2383,1125,136
24/04/2016,00:00,2147,2125,2393,822,2100,853,766,1142,1296,1567,,2782,925,166,882,1923,931,53
25/04/2016,00:00,3254,1300,2983,1064,3567,1266,1199,2277,884,1509,,3072,1455,458,1738,2395,2393,380
26/04/2016,00:00,3207,0,2948,,3481,1112,1161,2175,817,1359,,2786,1372,446,1824,2381,2347,318
27/04/2016,00:00,3131,1239,2874,,3481,1085,1077,2094,705,1242,,3152,1393,453,1616,2446,2271,406
28/04/2016,00:00,3200,2308,3164,,3563,1112,1095,2186,761,1281,,3229,1420,425,1477,2546,2356,426
29/04/2016,00:00,3365,2484,3264,,3769,1170,1176,2314,953,1569,,3434,1493,418,1475,2675,2468,393
30/04/2016,00:00,2892,3490,3524,,2782,1087,1118,1450,2148,2072,,3972,1312,256,1168,2511,1264,205
01/05/2016,00:00,900,1082,1101,,977,326,303,568,403,540,,1436,349,89,466,1133,496,82
02/05/2016,00:00,2361,1496,2150,,2685,851,768,1646,371,874,0,2326,1064,312,1007,1822,1880,316
03/05/2016,00:00,4678,3529,4482,,5028,1638,1929,3054,1780,2562,0,4662,2436,595,2027,3208,3265,572
04/05/2016,00:00,4075,2660,3724,,4412,1417,1447,2607,1109,1797,0,3815,1973,527,1734,2826,2898,548
05/05/2016,00:00,4921,3725,4822,,5549,1755,1976,3237,1765,2230,0,4983,2544,556,2202,3424,3492,635
06/05/2016,00:00,5228,4178,5379,,5610,1892,2147,3192,2199,2547,0,5409,2780,609,2133,3897,3404,622
07/05/2016,00:00,4027,4382,4629,,3851,1596,1652,1829,3146,2856,0,4887,2132,342,1465,3491,1605,290
08/05/2016,00:00,853,997,1036,,1095,337,235,511,225,421,0,1262,368,73,498,1100,510,86
09/05/2016,00:00,3630,2558,3519,,3983,1312,1327,2358,916,1435,,3675,1723,501,1564,2532,2737,472
10/05/2016,00:00,5321,4101,5220,,5891,1994,2366,3422,2110,2757,,5161,2920,688,2205,3597,3699,634
11/05/2016,00:00,5719,4514,5841,,6323,2227,2567,3676,2542,2942,1517,5586,3191,764,2209,3934,4054,622
12/05/2016,00:00,7281,5184,6483,,6936,2239,2824,3871,3280,3038,4270,6114,3556,802,2449,4278,4240,712
13/05/2016,00:00,3211,2485,3197,,3771,1178,1174,2052,727,1000,2239,3182,1663,463,1455,2595,2403,320
14/05/2016,00:00,2806,3238,3340,,3032,1210,1302,1516,2552,2118,2957,3795,1531,266,1127,2609,1378,198
15/05/2016,00:00,1214,1263,1314,,1531,480,365,739,339,529,1328,1713,477,108,642,1550,762,83
16/05/2016,00:00,2476,1616,2364,,2935,941,841,1759,374,750,1744,2569,1182,408,1138,1986,2104,219
17/05/2016,00:00,4225,2889,3957,,4853,1581,1702,2766,1440,1772,2749,4077,2217,621,1805,3008,3184,425
18/05/2016,00:00,5560,4223,5542,1191,5955,2001,2341,3355,2067,2498,3671,5363,3018,783,2186,3514,3768,452
19/05/2016,00:00,5048,4014,5126,2409,5682,1759,2151,3116,1977,2424,3417,5149,2663,706,2151,3646,3622,445
20/05/2016,00:00,6133,4809,5727,2290,6266,2001,2579,3485,2808,2840,1177,6176,3122,674,2296,4115,3728,517
21/05/2016,00:00,4309,4216,4511,1425,4062,1232,1693,1836,2892,2674,156,4865,2066,350,1304,3355,1616,300
22/05/2016,00:00,4318,4334,4517,1486,3895,1416,1687,2014,3514,3217,64,5115,2057,371,1276,3043,1681,267
23/05/2016,00:00,4160,4634,5070,1737,3817,1655,2041,1891,3965,3723,36,5146,2347,357,1302,3076,1764,270
24/05/2016,00:00,6499,5120,6149,3030,7154,2354,2879,3916,2580,3175,54,6487,3487,815,2392,4304,4315,675
25/05/2016,00:00,5423,4238,5404,2636,6429,2055,2329,3502,1948,2517,95,5635,2946,783,2003,3928,3869,607
26/05/2016,00:00,6445,5194,6527,3034,7218,2223,2830,4077,3001,3215,10,6398,3573,883,2467,4223,4348,760
27/05/2016,00:00,5036,3803,4908,2083,5665,1863,2075,2994,1592,2008,0,5118,2623,605,1826,3459,3496,574
28/05/2016,00:00,4733,4845,5435,1776,4609,1596,1994,2249,2958,2766,0,5955,2483,368,1645,3823,1951,127
29/05/2016,00:00,3367,3283,3677,1317,4266,1258,1200,1862,1737,1788,0,4249,1514,294,1193,2902,1723,296
30/05/2016,00:00,5483,4186,5358,2487,6082,2048,2087,3278,1464,2036,0,5758,2686,669,1900,3796,3639,583
31/05/2016,00:00,6561,5307,6397,3159,7338,2538,3048,4152,2365,3272,0,7050,3643,874,2865,4506,4784,579
01/06/2016,00:00,7168,5658,6853,3317,7821,2576,3053,4314,2833,3401,0,6800,3757,952,3458,4703,5155,720
02/06/2016,00:00,3631,2571,3587,1727,4136,1367,1511,2405,777,1505,0,4058,1850,515,1985,2867,2900,421
03/06/2016,00:00,6957,6345,7213,3473,7940,2475,3117,5290,2299,3261,0,9274,3748,862,2551,5454,4816,759
04/06/2016,00:00,5285,5758,5651,1966,5039,1743,2004,2428,2436,3032,0,6555,2434,421,1724,4114,2031,363
05/06/2016,00:00,2408,2024,1698,1120,1734,437,1783,2053,292,1006,0,3405,1780,116,1182,1656,1162,99
06/06/2016,00:00,3898,2998,3215,1953,4960,1618,1413,2735,708,1805,1725,4324,1918,553,1643,3017,3291,424
07/06/2016,00:00,4699,3539,4514,2360,5981,1732,1915,3153,865,2207,3369,5070,2432,645,1886,3619,3945,570
08/06/2016,00:00,4834,3341,4600,2306,5827,1861,1910,3102,714,2240,3064,5044,2362,682,2047,3441,4102,557
09/06/2016,00:00,3289,2310,3102,1704,4037,1147,1169,2383,292,1270,2417,3611,1479,492,1599,2833,2745,367
10/06/2016,00:00,5641,4413,5495,2287,6288,2032,2123,3474,1043,2669,4056,6051,2759,733,2394,4084,3764,605
11/06/2016,00:00,3437,2784,3140,1152,3400,951,954,1553,657,1689,2904,3778,1243,274,1465,2777,1395,276
12/06/2016,00:00,1935,1709,1910,738,2156,609,560,1030,456,1148,1922,2533,728,151,934,1917,959,134
13/06/2016,00:00,4809,4000,4961,2511,6038,1920,2229,3476,814,2305,3308,5388,2670,726,2177,3870,3876,656
14/06/2016,00:00,6643,5294,6554,3293,7473,2532,3005,4327,1611,3544,4463,7034,3419,865,2579,4592,4729,712
15/06/2016,00:00,7002,5616,6884,3193,7654,2584,3151,4345,1804,3872,4591,7486,3520,1019,2619,4724,4752,743
16/06/2016,00:00,7544,5563,6895,3226,7604,2373,2995,4447,1709,3492,4694,7441,3543,944,2671,4960,4661,700
17/06/2016,00:00,6888,5290,6404,2662,7140,2257,2758,4014,1770,3297,4178,6637,3138,857,2529,4779,4219,645
18/06/2016,00:00,5114,4814,5288,1702,4680,1794,2174,2148,3012,2986,3939,5635,2326,456,1755,3988,2135,311
19/06/2016,00:00,3917,4112,4308,1533,3760,1435,1707,2002,2516,2730,3949,4862,1801,358,1324,3416,1744,319
20/06/2016,00:00,5654,4601,5748,2730,6510,2225,2546,3665,2186,2960,3429,5921,2896,801,1904,4328,4196,688
21/06/2016,00:00,6362,5206,6207,3043,7431,2346,2877,4058,2636,3509,4431,6768,3305,985,2255,4621,4565,731
22/06/2016,00:00,4085,3269,4143,2064,4972,1482,1817,2663,1465,2465,2875,4812,2221,683,1593,3467,3088,474
23/06/2016,00:00,6027,5126,6272,2429,7336,2163,2597,3612,2466,3031,4070,6706,3040,916,2269,4282,4305,686
24/06/2016,00:00,4512,4579,5123,1408,4176,1607,1868,1753,3795,2717,3554,5243,2311,395,1381,3285,1713,396
25/06/2016,00:00,3961,3959,4003,1255,3615,1167,1590,1565,2730,2483,3122,4379,1863,339,1169,3038,1566,349
26/06/2016,00:00,3493,3722,3928,1363,3768,1266,1713,1843,2525,2679,3457,4362,1931,340,1189,3281,1730,309
27/06/2016,00:00,2826,2536,3191,1494,4075,1244,1231,1918,1042,1586,2290,3661,1512,455,1202,2655,2353,379
28/06/2016,00:00,3570,2741,3478,1511,4747,1415,1307,2378,887,1521,2323,3793,1697,486,1412,2985,2952,470
29/06/2016,00:00,3966,2751,3714,1695,5354,1520,471,2405,922,1628,2538,4123,1787,593,1591,3098,3001,452
30/06/2016,00:00,6417,5329,6328,2538,7632,2252,1942,3742,2777,3293,3911,6711,3225,827,2361,4588,4234,651
01/07/2016,00:00,3741,3227,3549,1225,3492,1195,1536,1504,2657,2205,2605,4026,1842,326,1256,2652,1338,292
02/07/2016,00:00,3222,2488,2842,1033,3548,928,955,1406,1035,1535,2385,3271,1464,259,1255,2323,1345,255
03/07/2016,00:00,4746,4151,4537,1388,4299,1381,1947,2110,3683,3421,4058,4883,2282,423,1579,3379,1788,348
04/07/2016,00:00,6219,4898,6047,2670,7420,2271,2848,3816,2727,3395,3720,6430,3338,786,2317,4441,4301,713
05/07/2016,00:00,7189,5473,6948,2857,8487,2594,3055,4038,3031,3692,4137,7050,3662,938,2531,4733,4895,833
06/07/2016,00:00,6852,4925,6369,2639,7755,2366,2817,3838,2767,3627,3637,6534,3577,957,2387,4471,4679,709
07/07/2016,00:00,5520,4085,4956,2076,6514,1912,1959,3326,1248,2112,3890,5324,2437,708,2094,3964,3904,536
08/07/2016,00:00,5828,4295,5239,2089,7099,1870,2416,3303,2272,2698,3490,5797,2876,783,2111,4069,4013,578
09/07/2016,00:00,1392,1240,1353,494,1761,441,428,700,296,639,1115,1710,630,147,578,1340,708,124
10/07/2016,00:00,1812,1885,1964,671,2334,657,525,962,641,1020,1122,2420,655,196,847,1925,996,154
11/07/2016,00:00,6361,5018,6087,2583,7423,2397,3001,3776,3244,3732,3793,6319,3584,906,2223,3983,5080,718
12/07/2016,00:00,6782,5296,6704,2818,7877,2465,2976,3938,3221,3739,3941,6854,3508,898,1722,4761,4782,720
13/07/2016,00:00,6152,4677,5984,2467,7056,2128,2641,3505,2359,3179,3253,5915,3100,809,1332,4662,4349,681
14/07/2016,00:00,5155,3591,4691,1901,5989,1666,1963,3015,1377,2044,2818,5045,2428,710,1450,3568,3634,519
15/07/2016,00:00,5323,3782,4850,1916,6458,1834,2023,2965,1901,2392,3267,5146,2515,731,1798,3770,3740,615
16/07/2016,00:00,4446,3784,4413,1209,4732,1448,1854,1819,3070,3443,3290,4848,2550,447,1514,2929,2033,380
17/07/2016,00:00,4476,4057,4554,1337,4418,1492,1907,1910,3761,3685,5078,5093,2289,429,1351,3051,1987,396
18/07/2016,00:00,4512,3337,4453,2100,5942,1855,2003,3096,1508,2194,2895,4758,2502,700,1764,3510,3773,608
19/07/2016,00:00,6457,4780,6023,2693,7516,2422,2822,3922,3153,3451,4008,6297,3522,897,2272,4264,4698,684
20/07/2016,00:00,6559,5079,6656,2681,7907,2479,2950,3672,3238,3773,4154,6542,3899,805,2040,4650,4429,729
21/07/2016,00:00,6265,4913,6041,2306,7695,2243,2752,3669,2748,3183,3932,6308,3368,911,2147,4463,4583,798
22/07/2016,00:00,4770,3744,4614,1785,6070,1720,1955,2755,1490,2073,3023,5032,2485,658,1598,3835,3498,585
23/07/2016,00:00,2562,2305,2517,934,3071,896,941,1111,1299,1467,2122,3102,1223,249,1014,2006,1259,231
24/07/2016,00:00,4409,4073,4545,1637,4541,1573,1909,2038,4025,3391,3930,4820,2197,399,1359,3206,2002,347
25/07/2016,00:00,3191,2294,3105,1513,4573,1263,1424,2201,943,1477,2124,3333,1769,522,1318,2632,2814,445
26/07/2016,00:00,6042,4692,5918,2988,7519,2159,2647,3598,3055,3288,3814,5804,3213,827,2014,4199,4368,735
27/07/2016,00:00,6053,4811,6129,3063,7758,2199,2852,3334,2892,3635,3479,6227,3596,876,2078,4315,4381,737
28/07/2016,00:00,5860,4082,5235,2709,7546,2033,2353,3411,1986,2609,3536,5765,2839,817,2071,3919,4191,664
29/07/2016,00:00,5550,4451,5477,2449,6971,1890,2343,3189,3425,4645,3675,5516,3071,768,1885,4171,3832,667
30/07/2016,00:00,4861,4435,5163,1665,4903,1446,1985,1940,4692,6548,3874,5421,2855,531,1469,3314,2077,469
31/07/2016,00:00,4366,4083,4554,1845,4949,1622,1800,2046,4192,6381,4065,4856,2179,410,1279,3527,2116,401
01/08/2016,00:00,4872,3930,4872,2696,6446,1877,2241,3089,2171,3069,3152,4979,2806,762,1773,3756,3829,625
02/08/2016,00:00,6126,4928,6305,3022,7870,2253,2783,3725,3356,3544,3722,5943,3419,873,1657,4401,4599,744
03/08/2016,00:00,5272,4599,5454,3444,7519,2253,2707,3615,3025,3325,3684,5879,3220,892,1763,4343,4426,686
04/08/2016,00:00,5201,4184,4843,2598,6792,1947,2523,3296,2391,2940,3314,5496,2983,729,1411,4109,3982,653
05/08/2016,00:00,4710,3886,4627,2142,6169,1724,2084,2947,2167,2833,3278,5182,2497,725,1245,3948,3574,586
06/08/2016,00:00,3761,3613,3769,1571,4189,1249,1540,1686,2744,3268,3024,4530,2039,399,999,3059,1843,364
07/08/2016,00:00,3614,3235,3465,1513,3774,1361,1453,1694,2724,3216,3118,4250,1877,399,952,2726,1689,321
08/08/2016,00:00,5397,4092,5208,2913,6704,2086,2496,3369,2555,3027,3622,5609,2992,734,2002,4024,4078,733
09/08/2016,00:00,6199,4720,5783,3225,7583,2255,2823,3799,3008,3645,4001,6554,3404,780,2815,4425,4580,679
10/08/2016,00:00,6162,4522,5546,3370,7072,2027,2523,3412,2276,3376,3297,6370,3000,545,2254,4339,4115,633
11/08/2016,00:00,6480,4481,5391,3095,7031,2025,2352,3320,2287,3053,3653,5864,2947,717,2181,4085,3769,670
12/08/2016,00:00,3288,2085,2780,1319,4255,1155,1097,1834,681,1350,2241,3297,1403,384,1255,2588,1450,369
13/08/2016,00:00,1275,1169,1205,479,1528,393,442,560,208,704,1241,1606,612,99,547,1346,352,111
14/08/2016,00:00,2938,2213,2514,1045,3149,907,943,1268,1441,1699,2431,3022,1168,220,888,2131,1111,213
15/08/2016,00:00,5667,4545,5505,3124,6968,2290,2695,3436,3011,3572,3860,5751,3366,631,2098,4086,3863,656
16/08/2016,00:00,3166,2230,2979,1687,4035,1213,1404,2080,1085,1704,2068,3153,1667,337,1427,2334,2306,447
17/08/2016,00:00,5346,4359,4942,2952,6906,2018,2422,3343,2315,3248,3614,5614,2970,608,741,4234,3736,594
18/08/2016,00:00,5893,4681,5853,3143,7312,2222,2706,3503,2382,3425,3787,6236,3292,727,1538,4097,3953,715
19/08/2016,00:00,5530,4626,5573,2755,6641,2081,2394,3100,2485,3101,3840,6024,2907,696,1776,4258,3453,615
20/08/2016,00:00,3856,3719,4058,1596,4185,1526,1646,1736,2644,2659,3147,4714,1997,435,1134,3057,1762,385
21/08/2016,00:00,1351,1314,1480,620,1759,626,458,724,725,758,1367,1995,592,138,520,1470,647,130
22/08/2016,00:00,5135,4142,5180,2934,6634,1968,2216,3221,1925,2662,3512,5478,2736,610,1823,3805,3586,633
23/08/2016,00:00,6092,4986,6195,3517,7526,2409,2731,3805,2624,3219,4020,6341,3294,726,2339,4378,4157,754
24/08/2016,00:00,5966,4912,6110,3360,7755,2402,2648,3680,2680,3230,3733,6459,3177,681,2091,4479,4102,748
25/08/2016,00:00,4504,3618,4433,2532,5763,1732,1905,2798,1271,1956,2908,4825,2182,501,1626,3728,3269,558
26/08/2016,00:00,5120,4799,5638,2702,7040,2111,2342,3312,2387,2677,3864,6212,2879,579,1905,4381,3786,732
27/08/2016,00:00,4443,4439,4374,1778,4320,1615,1779,1888,3297,2579,3736,5210,2114,393,1324,3594,1962,350
28/08/2016,00:00,2705,2822,2820,1398,3747,1048,938,1609,1565,1610,2968,3841,1294,287,992,2756,1634,258
29/08/2016,00:00,5668,4537,5701,3824,7407,2288,2588,3790,2459,2739,3561,5756,3254,696,2684,4355,4203,589
30/08/2016,00:00,5877,4582,5853,4005,7951,2466,2440,3997,2062,2883,3475,287,3089,677,2941,4383,4408,666
31/08/2016,00:00,4944,3738,4942,3304,6893,1784,1992,3333,1137,1972,3601,43,2583,707,2367,4201,3794,590
01/09/2016,00:00,1299,4815,5953,4555,7822,2395,2571,3992,2151,2834,4155,74,3288,925,2398,4804,4559,660
02/09/2016,00:00,961,4237,5238,3927,7379,2199,2269,3830,2036,2432,3771,403,2842,795,2230,4378,4178,639
03/09/2016,00:00,4190,3344,3728,1649,4007,1271,1491,1755,2792,2496,3474,4242,2083,390,1266,2953,1728,312
04/09/2016,00:00,4014,3175,3588,1378,3944,1228,1546,1940,3387,2944,3637,4213,1953,377,1245,2665,1770,312
